# BTC/EUR Tageskurs (Schlusskurs)
# Quelle: Bitstamp via CryptoDataDownload
# URL: https://www.cryptodatadownload.com/cdd/Bitstamp_BTCEUR_d.csv
# Stand: 2026-08-27
# Format: date,price
date,price
2016-06-04,503
2016-06-05,505.98
2016-06-06,514.23
2016-06-07,507.94
2016-06-08,513
2016-06-09,509.2
2016-06-10,515.3
2016-06-11,530.97
2016-06-12,593
2016-06-13,621.54
2016-06-14,616.96
2016-06-15,618.89
2016-06-16,687.47
2016-06-17,672.3
2016-06-18,675.32
2016-06-19,679.99
2016-06-20,649.87
2016-06-21,598.68
2016-06-22,530
2016-06-23,548.08
2016-06-24,601.07
2016-06-25,607.89
2016-06-26,572.1
2016-06-27,591.63
2016-06-28,590.49
2016-06-29,575.9
2016-06-30,609
2016-07-01,613.07
2016-07-02,628.55
2016-07-03,600.7
2016-07-04,611.04
2016-07-05,608.37
2016-07-06,607.31
2016-07-07,582.66
2016-07-08,605
2016-07-09,595.67
2016-07-10,590
2016-07-11,591
2016-07-12,611.87
2016-07-13,600
2016-07-14,598.69
2016-07-15,605.7
2016-07-16,601.03
2016-07-17,614
2016-07-18,611.18
2016-07-19,613.61
2016-07-20,606.99
2016-07-21,602.04
2016-07-22,595.92
2016-07-23,600
2016-07-24,603.1
2016-07-25,595
2016-07-26,595
2016-07-27,589.98
2016-07-28,592.97
2016-07-29,588.99
2016-07-30,587.18
2016-07-31,558.71
2016-08-01,540.13
2016-08-02,459.87
2016-08-03,506.59
2016-08-04,519.98
2016-08-05,522.98
2016-08-06,532
2016-08-07,537.99
2016-08-08,535
2016-08-09,527.63
2016-08-10,528.81
2016-08-11,530.46
2016-08-12,526
2016-08-13,525
2016-08-14,510
2016-08-15,510
2016-08-16,514.09
2016-08-17,508.01
2016-08-18,508.4
2016-08-19,509.95
2016-08-20,513.26
2016-08-21,510.78
2016-08-22,518.5
2016-08-23,514.99
2016-08-24,515.26
2016-08-25,511
2016-08-26,516.99
2016-08-27,509.96
2016-08-28,512.98
2016-08-29,512.45
2016-08-30,517.99
2016-08-31,513.93
2016-09-01,510.99
2016-09-02,513.26
2016-09-03,534.51
2016-09-04,534.44
2016-09-05,539.89
2016-09-06,542.8
2016-09-07,547.66
2016-09-08,555.99
2016-09-09,555.98
2016-09-10,556.91
2016-09-11,538.8
2016-09-12,543.28
2016-09-13,542
2016-09-14,543.98
2016-09-15,542.3
2016-09-16,544.78
2016-09-17,544.1
2016-09-18,545.99
2016-09-19,544.96
2016-09-20,544.99
2016-09-21,533.99
2016-09-22,530.06
2016-09-23,539.16
2016-09-24,539.5
2016-09-25,533.42
2016-09-26,540
2016-09-27,540
2016-09-28,540
2016-09-29,542.75
2016-09-30,545.99
2016-10-01,549.8
2016-10-02,543.94
2016-10-03,547.9
2016-10-04,544.37
2016-10-05,550.86
2016-10-06,549.04
2016-10-07,557
2016-10-08,556
2016-10-09,553.97
2016-10-10,558.39
2016-10-11,579.99
2016-10-12,581.6
2016-10-13,575.99
2016-10-14,584.94
2016-10-15,580.47
2016-10-16,584
2016-10-17,580
2016-10-18,582.5
2016-10-19,573.56
2016-10-20,580
2016-10-21,579.12
2016-10-22,604.99
2016-10-23,602
2016-10-24,600
2016-10-25,604.18
2016-10-26,620
2016-10-27,628
2016-10-28,626.66
2016-10-29,643.6
2016-10-30,630
2016-10-31,633.37
2016-11-01,653
2016-11-02,664.64
2016-11-03,618.67
2016-11-04,632.81
2016-11-05,633.97
2016-11-06,640.32
2016-11-07,639.9
2016-11-08,643.5
2016-11-09,655.04
2016-11-10,657.95
2016-11-11,659.45
2016-11-12,647.5
2016-11-13,645.95
2016-11-14,652.2
2016-11-15,662
2016-11-16,687.9
2016-11-17,690
2016-11-18,703.43
2016-11-19,704.82
2016-11-20,686.55
2016-11-21,691.47
2016-11-22,706.88
2016-11-23,701.66
2016-11-24,700.47
2016-11-25,699.1
2016-11-26,695.48
2016-11-27,692.2
2016-11-28,691.03
2016-11-29,691.01
2016-11-30,698.02
2016-12-01,707.7
2016-12-02,726.6
2016-12-03,724.23
2016-12-04,726.97
2016-12-05,705
2016-12-06,712.8
2016-12-07,714.1
2016-12-08,731.99
2016-12-09,730.67
2016-12-10,738.6
2016-12-11,734.61
2016-12-12,737.99
2016-12-13,737.51
2016-12-14,739.9
2016-12-15,749
2016-12-16,752.99
2016-12-17,759.51
2016-12-18,759.99
2016-12-19,764.06
2016-12-20,779.94
2016-12-21,797.3
2016-12-22,828.9
2016-12-23,883.55
2016-12-24,861.3
2016-12-25,856
2016-12-26,857
2016-12-27,889.74
2016-12-28,940
2016-12-29,932
2016-12-30,914.99
2016-12-31,916.98
2017-01-01,946
2017-01-02,972.98
2017-01-03,990
2017-01-04,1072
2017-01-05,940
2017-01-06,850
2017-01-07,857.59
2017-01-08,868.08
2017-01-09,859.99
2017-01-10,868
2017-01-11,755.04
2017-01-12,779.51
2017-01-13,784.99
2017-01-14,777
2017-01-15,777
2017-01-16,792.58
2017-01-17,858.5
2017-01-18,828.99
2017-01-19,845.31
2017-01-20,843.1
2017-01-21,862
2017-01-22,858.99
2017-01-23,862.22
2017-01-24,842.27
2017-01-25,838.7
2017-01-26,857.5
2017-01-27,855.65
2017-01-28,857.45
2017-01-29,856
2017-01-30,862.51
2017-01-31,901.5
2017-02-01,916.04
2017-02-02,941.63
2017-02-03,940.48
2017-02-04,961.14
2017-02-05,941.83
2017-02-06,953.75
2017-02-07,987
2017-02-08,986
2017-02-09,919.99
2017-02-10,939.34
2017-02-11,953.51
2017-02-12,945.46
2017-02-13,948.99
2017-02-14,960.9
2017-02-15,960.63
2017-02-16,979.99
2017-02-17,994.96
2017-02-18,997
2017-02-19,990
2017-02-20,1020.08
2017-02-21,1062.99
2017-02-22,1066.07
2017-02-23,1114.72
2017-02-24,1116.16
2017-02-25,1083.47
2017-02-26,1105.16
2017-02-27,1125
2017-02-28,1118.89
2017-03-01,1157
2017-03-02,1194.57
2017-03-03,1206.99
2017-03-04,1194.38
2017-03-05,1184.03
2017-03-06,1203.18
2017-03-07,1172.32
2017-03-08,1080.71
2017-03-09,1132.98
2017-03-10,1046
2017-03-11,1106.47
2017-03-12,1152
2017-03-13,1164.99
2017-03-14,1172.75
2017-03-15,1169.99
2017-03-16,1088.18
2017-03-17,994.1
2017-03-18,884.99
2017-03-19,936.61
2017-03-20,965
2017-03-21,1018
2017-03-22,945.87
2017-03-23,947.54
2017-03-24,859.48
2017-03-25,879.99
2017-03-26,883.01
